,,,,,,שם לקוח,אימייל,איש קשר,טלפון,יתרה,תאריך עדכון,עמודה 1,עמודה 3,עמודה 2
,,,,,,מרכז החינוך הגדול - מנדי גפנר,,מנדי,548536726,-1153,21.4.2026,,,
,,,,,,משרד המשפטים,,חוה לוי,507061825,-1062,16.6.2026,,,
,,,,,,בית ספר יסודי king solomon,,זהורית,524811182,-1003,20.5.2026,,,
,,,,,,מרחב ,‏‪m0556755987@gmail.com‬‏,מרחב,556755987,-2006,28.5.2026,,,
,,,,,,ישוב קהילתי רקפת,‪omrimesa@gmail.com‬‏,,,-932,29.6.2026,,,
,,,,,,מתנס גוש עציון,,זהבית הנאו טיול אפרת,545353522,-885,9.7.2026,,,
,,,,,,שתילים מתיבתא,,נתי עמר,527600891,-883,11.6.2026,,,
,,,,,,קיבוץ מבוא חמה ,,אסף,503841880,-826,9.7.2026,,,
,,,,,,אורה מודיעים,,אורית פלדמן,528225711,-814,31.5.2026,,,
,,,,,,עמותת עליה מוריה,,ציפורה ,528958209,-814,15.7.2026,,,
,,,,,,מתנס גוש עציון ,,דבורה,586761233,-814,15.7.2026,,,
,,,,,,בתיה חובשת כוכב יאיר,,בתיה,חוב תיק,-800,14.5.2026,,,
,,,,,,בית יעקב רכסים,‏‪809426@cha.org.il‬‏,,556736477,-708,26.6.2026,,,
,,,,,,נקר מדיק,,בר,543493062,-708,29.6.2026,,,
,,,,,,אורט מרום,,,,-580,18.6.2026,,,
,,,,,,יהודה מסיקה,,יהודה,544368380,-436,2.7.2026,,,
,,,,,,איחוד הצלה,Invoices@1221.org.il,נועה זוהר,547827009,-354,26.6.2026,,,
,,,,,,שמואל כהן ישיבה חיפה,,,,-150,16.7.2026,,,
,,,,,,אריה רם,,אריה,543007197,-140,28.2.2026,,,
,,,,,,"שלטון בית""ר",rachel@betar.org.il - או - chavi@betar.org.il,צאלה,555588986,0,1.1.2027,נשלחה אסמכתא על העברה,,
,,,,,,נעם הארץ,,חגי,505471754,0,1.1.2027,,,
,,,,,,חטיבת ביניים תמר אריאל ,batsheva2308@gmail.com,מתן מאיר,523989564,0,1.1.2027,,,
,,,,,,ישיבת שערי תורה ,5374305@gmail.com,,548550660,0,1.1.2027,,,
,,,,,,נוח אבטחה רפואית,,נוח מרגליות,555537311,0,1.1.2027,,,
,,,,,,מכון פויירשטיין,,אירינה,542228381,0,1.1 2026,,,
,,,,,,דרכי משה,darkimoshe1@gmail.com,,548408447,0,1.1.2026,,,
,,,,,,ישיבת ברכת יעקב ,a0548402288@gmail.com,,548402288,0,1.1.2026,,,
,,,,,,ישיבת מקור חיים,ariel@tariel.org.il,עמיחי,524239817,0,1.1.2026,,,
,,,,,,דרכי איש,‏‪yl0583258358@gmail.com‬‏,יעקב ללוש,583258358,0,1.1.2026,,,
,,,,,,מכינת אבנר,,ברק,524668325,0,1.1.2026,,,
,,,,,,חנוך לנער,,יוסי פוגל,528186246,0,1.1.2026,,,
,,,,,,אולפנת חולון,,מאיה לוי,532829555,0,1.1.2026,,,
,,,,,,שרה נייהוז,‏‪s0548524895@gmail.com‬‏,שרה,548524895,0,1.1.2026,,,
,,,,,,תיכון שחרית,‏‪nuritc@kidum-edu.org.il‬‏,אפריים זכריה,508760759,0,1.1.2026,,,
,,,,,,בית ספר ענבר,,מרים,506819053,0,1.1.2026,,,
,,,,,,תושבי שניר,‏‪Nurit@kbsnir.org.il‬‏,נורית,503138027,0,1.1.2026,,,
,,,,,,רוחלה מוצרי מאפה,‏‪avri@ruhale.co.il‬‏,אברי,52-394-1333,0,1.1.2026,,,
,,,,,,מדן ועד אילת,,דן קובלסקי,528612535,0,1.1.2026,,,
,,,,,,מתנס בית היימן,,רעות,526048834,0,1.1.2026,,,
,,,,,,יהושוע ,,יהושוע ,8186797342,0,1.1.2026,,,
,,,,,,דרך הרגליים,,לירן,54-311-7071,0,1.1.2026,,,
,,,,,,אגודה קיהלתית מבוא חורון,,יצחק רוזנשטיין,509522283,0,1.1.2026,,,
,,,,,,מועדוניות רווחה עיריית אשדוד,‏‪shiranda@ashdod.muni.il‬‏,אילנית ביטון,525408570,0,1.1.2026,,,
,,,,,,כנס ישראל,,אריאל מילוא,535208014,0,1.1.2026,,,
,,,,,,ישיבת תורת משה ,,יצחק,587833737,0,1.1.2026,,,
,,,,,,חנוך לנער,,חנוך,587169946,0,1.1.2026,,,
,,,,,,פדיקר ,,איציק,"03-5226562,0546555912",0,1.1.2026,,,
,,,,,,בית ספר צמח טירת הכרמל ,,משה אנגרמן,506659552,0,1.1.2026,,,
,,,,,,מועצה איזורית בני שמעון,,עדן,509004318,0,1.1.2026,,,
,,,,,,דנה בלאו,,דנה,508939091,0,1.1.2026,,,
,,,,,,יחיאל מייברג,,יחיאל,543695010,0,1.1.2026,,,
,,,,,,יוסי עמר רפואה בעמ,,יוסי,527766660,0,1.1.2026,,,
,,,,,,אהל אשר(כלי יקר),bk@oasher.org,יעקב כהן,546196828,0,1.1.2026,,,
,,,,,,קלאב האוס ,jerusalem@clubhouseamit.org,איריס ארגמן,544071742,0,1.1.2026,,,
,,,,,,עמיחי זלינגר,,עמיחי זליגר,559910010,0,1.1.2026,,,
,,,,,,בית יציב,,שרונה,528468956,0,1.1.2026,,,
,,,,,,חותם,sandrael@tfi.org.il,סנדרה,526601812,0,1.1.2026,,,
,,,,,,נווה דניאל,,הוד כץ,544704728,0,1.1.2026,,,
,,,,,,ישוב בני אדם,,נעמה,585311298,0,1.1.2026,,,
,,,,,,נוער שילה,,פלורין,528506638,0,1.1.2026,,,
,,,,,,ועד מקומי שוקדה,,ספיר נדב,512277600,0,1.1.2026,,,
,,,,,,רשת עתיד,,קרן כהן,507575765,0,1.1.2026,,,
,,,,,,ישיבת מנוחת תורה,kr0722335501@gmail.com,קרמר,534183257,0,1.1.2026,,,
,,,,,,דרך הלב,,נתנאל,533350575,0,1.1.2026,,,
,,,,,,אולפנת צביה רבבה,הדס בר,,,0,1.1.2026,,,
,,,,,,פנימיית נירים,eladsh@nirim.org,אלעד,547212796,0,1.1.2026,,,
,,,,,,בית ספר ריגלר נתניה,,,544761969,0,1.1.2026,,,
,,,,,,עמותת איגי,,יובל,547771614,0,1.1.2026,,,
,,,,,,ישיבה תיכונית הר חברון,,אריאל חזן,548097006,0,1.1.2026,,,
,,,,,,טיולי מרחבים,,אלדד,528446106,0,1.1.2026,,,
,,,,,,בית חינוך גלילי,edu.galilh@gmail.com,אסי רייך,504291107,0,1.1.2026,,,
,,,,,,עמיחי זליגר,,עמיחי,559910010,0,1.1.2026,,,
,,,,,,פיתוחי חותם,,מרכדכי,527625805,0,1.1.2026,,,
,,,,,,תלמוד תורה קריית הרצוג,t035790695@gmail.com,,548535828,0,1.1.2026,,,
,,,,,,איתתמר סנפלינג,,איתמר,522300306,0,1.1.2026,,,
,,,,,,קידום נוער מועצה אזורית גליל עליון,mirih@galil-elion.org.il,מעיין,"0506864439,2-0505315739",0,1.1.2026,,,
,,,,,,בית ספר חבד אילת,1002423475@edu-darom.org.il,עלומה,537574460,0,1.1.2026,,,
,,,,,,רקמה אנושית,,עמית סגל,544231250,0,1.1.2026,,,
,,,,,,שבתאי בורנשטיין,,שבתאי,524815866,0,1.1.2026,,,
,,,,,,אריאל מדיק,,אריאל,547772893,0,1.1.2026,,,
,,,,,,שפן הסלע,office.shafan@gmail.com,שוקי,545529262,0,1.1.2026,,,
,,,,,,נתנאל דימונה,,,,0,1.1.2026,,,
,,,,,,שילת מדיקל,,מאור,505454618,0,1.1.2026,,,
,,,,,,בית ספר נעימת הלב חריש,,עידן,526616785,0,1.1.2026,,,
,,,,,,rtmedicalgroup,,רביע,527444911,0,1.1.2026,,,
,,,,,,אוהל יוזמות תרבות,ohel.yuzmot.tarbut@gmail.com,אלעד,507327794,0,1.1.2026,,,
,,,,,,איחוד הנוער (ע.ר),b845967@gmail.com,אברהם לבינגר,527617416,0,1.1.2026,,,
,,,,,,ביג איידיא,,עדן,543450181,0,1.1.2026,,,
,,,,,,בית ספר סיני בנות יבנה,,שרה ישראלי,504109102,0,1.1.2026,,,
,,,,,,בית ספר אורות עציון,,יונה מנצור,524588425,0,1.1.2026,,,
,,,,,,בית ספר אור מנחם צפת,,אשר,525420715,0,1.1.2026,,,
,,,,,,בית חבד צור יצחק,,הרב שמוליק,526496662,0,1.1.2026,,,
,,,,,,בית הגלגלים,,משה,523205913,0,1.1.2026,,,
,,,,,,גיבושטח,eyalhalevi10@gmail.com,אייל,522227498,0,1.1.2026,,,
,,,,,,דיא נכסי סיעוד בעמ,,דינה ברק,505987034,0,1.1.2026,,,
,,,,,,דניאל שליחויות,,דניאל,545448218,0,1.1.2026,,,
,,,,,,המרכז לרפואת חירום,,דור,508530331,0,1.1.2026,,,
,,,,,,הקרן לרווחת נפגעי השואה,,שרון,542303255,0,1.1.2026,,,
,,,,,,יואב הדרכות וציוד,,יואב שטרן,526139109,0,1.1.2026,,,
,,,,,,ישיבה תורנית בני ירושלים,,יונתן,544910135,0,1.1.2026,,,
,,,,,,ישיבת חבד קריית שמואל,,מנדי,587234770,0,1.1.2026,,,
,,,,,,לבטח דרכך ,l@lavr.co.il,יניב,529280666,0,1.1.2026,,,
,,,,,,עלינו ,,ליאת,502282286,0,1.1.2026,,,
,,,,,,מועצה אזורית חוף אשקלון,,אלירז,586357567,0,1.1.2026,,,
,,,,,,מועצה אזורית מרום גליל,,שרון,524244805,0,1.1.2026,,,
,,,,,,משען עלומים,,עמית,526318838,0,1.1.2026,,,
,,,,,,עיריית עכו,rona-z@akko.muni.il,רונה,547635132,0,1.1.2026,,,
,,,,,,עמותת איזון בחזרה למסלול,,יוני,525527418,0,1.1.2026,,,
,,,,,,ישיבת הדרת מנחם,,מנחם,548468273,0,1.1.2026,,,
,,,,,,קהילת רמת הנביאים,,איציק,587833737,0,1.1.2026,,,
,,,,,,רפי יוזוק,,רפי,533562608,0,1.1.2026,,,
,,,,,,שכולו טוב,,עפרי,524359578,0,1.1.2026,,,
,,,,,,שש שנתי רמון פתח תקווה,,דינה,549732359,0,1.1.2026,,,
,,,,,,יחידה במשגב,info@y-misgav.co.il,שגיא,523783951,0,1.1.2026,,,
,,,,,,הכפר הירוק king solomon,biz@kingsolomonschool.org,אחינועם,524811182,0,1.1.2026,,,
,,,,,,פיתוח משאבים ,pvm5060@gmail.com,נחמה,556768436,0,1.1.2026,,,
,,,,,,תבור מנהיגות חברתית,office@tavor.org.il,ליאור גריידי,526242923,0,1.1.2027,מול  הודיה,,
,,,,,,בית ברכה,‏‪c0527172608@gmail.com‬‏,אליהו ברנד,527675358,0,1.1.2027,,,
,,,,,,בית ספר שדה כפר עציון,alyesodi-tiful@bsade.org,שני,538210162,0,1.1.2027,,,
,,,,,,בית ספר למרחב,yaacov.lif@gmail.com,יעקב,523003225,0,1.1.2027,,,
,,,,,,איתן עומר ,,איתן,546755674,0,1.1.2027,,,
,,,,,,בית ספר נווה אברהם ,,אדוה רוזנשטיין פתח תקווה,547828788,0,1.1.2027,,,
,,,,,,בית ספר נבון רמת גן,,אודליה,522722550,0,1.1.2027,,,
,,,,,,במעלה ההר,,ורד,544474797,0,1.1.2027,,,
,,,,,,בית ספר חופי הגליל,,אליזבט,524761705,0,1.1.2027,,,
,,,,,,א.ד מגן אבטחה ורפואה,,אבנר,538959577,0,1.1.2027,,,
,,,,,,ציפי שטרן אבי עזרי מודיעין עלית,‪9744779@gmail.com‬‏,ציפי שטרן,,0,1.1.2027,,,
,,,,,,אתגרי העתיד חריש,Mirit@harish.muni.il,שחר,503138096,0,1.1.2027,,,
,,,,,,קהילת שבט הנובה,,יפעת,504247222,0,1.1.2027,,,
,,,,,,בשבילנו,-,נעמה,46662333,0,1.1.2027,,,
,,,,,,עמותת קסם הצרעה,,עילי,532764549,0,1.1.2027,,,
,,,,,,מנהל קהילתי גינות העיר,,אביה,544448032,0,1.1.2027,,,
,,,,,,לויקר,,אבישי,559447876,0,1.1.2027,,,
,,,,,,דניאל סיגלוב,,דניאל,586048428,0,1.1.2027,,,
,,,,,,בית ספר דיזינגוף תל אביב,,יהודה,502245650,0,1.1.2027,,,
,,,,,,גירז,,ויסוצקי,546580646,0,1.1.2027,,,
,,,,,,תיכון זומר רמת גן,,אירית,547336380,0,1.1.2027,,,
,,,,,,בתי הכנסת המאוחדים באמריקה,tours@fuchsbergcenter.org,אורי לסנר,587654300,0,1.1.2027,,,
,,,,,,ישיבת תיכונית מיתר,,נחמן,544642899,0,1.1.2027,,,
,,,,,,"בית ספר ניל""י זכרון יעקב",,ינית,505432808,0,1.1.2027,,,
,,,,,,מה יפו,,ליאת ,505743179,0,1.1.2027,,,
,,,,,,עמותת שניר חרמון שיאון,,דבורה ,548120703,0,1.1.2027,,,
,,,,,,מתנס שדרות ,,אלעד פדלון,503876543,0,1.1.2027,,,
,,,,,,בית ספר עקיבא בת ים,,שרית חלילי,508898421,0,1.1.2027,,,
,,,,,,בני עקיבא,refua@bna.org.il,אברהם אלוש,52-661-5618,0,1.1.2027,,,
,,,,,,תיכון ברנר פתח תקווה,einat1972@yahoo.com,עינת,524323036,0,1.1.2027,,,
,,,,,,בית ספר ארגנטינה עין כרם,,לינוי,548174997⁩,0,1.1.2027,,,
,,,,,,מכון טכנולוגי צפת,,יוסי פוגל,528186246,0,1.1.2027,,,
,,,,,,בנדה הפקות,,מויש,527885500,0,1.1.2027,,,
,,,,,,אולפנת צביה חיפה,,נעמה טובול,549987741,0,1.1.2027,,,
,,,,,,עולם הרפואה,,טל,522982711,0,1.1.2027,,,
,,,,,,עמותת מאירים מפיצים טוב,,עומר,544533982,0,1.1.2027,,,
,,,,,,ועד מקומי ניצן,,איתי חן,584599872,0,1.1.2027,,,
,,,,,,מועצה אזורית גולן-קצרין,,אריאל שחר,585381646,0,1.1.2027,,,
,,,,,,ניתאי,,אורלי,543672128,0,1.1.2027,,,
,,,,,,בית ספר שבילים פרדס חנה,,דנה שייקוביץ,544500315,0,1.1.2027,,,
,,,,,,מכון מאיר,,יונתן פריש,544910135,0,1.1.2027,,,
,,,,,,איחוד הנוער יעקב זינגר,9798075@gmail.com,יעקב זינגר,527682075,0,1.1.2027,,,
,,,,,,נוער עין הוד,,סוף אזולאי,526297775,0,1.1.2027,,,
,,,,,,אהבת ישראל,,אור פרידמן בית שמש ,542149952,0,1.1.2027,,,
,,,,,,"מירה אורן רופאים צעירים בע""מ",,לי שפיגל ברוך,524449762,0,1.1.2027,,,
,,,,,,מרכז מוסדות חינוך אור אפרים,,צביקה,546680175,0,1.1.2027,,,
,,,,,,תיכון רוטברג רמת השרון,‏‪poli.rothberg@gmail.com‬‏,פולי,545719015,0,1.1.2027,,,
,,,,,,המרכז לרפואת חירום ,,דור,508530331,0,1.1.2027,,,
,,,,,,קלי קלותא,,,545509071,0,1.1.2027,,,
,,,,,,ישיבת אהבת שלום,,אליהו אלחרר,556688613,0,1.1.2027,,,
,,,,,,אורטל תיירות,,יהל,543558830,0,1.1.2027,,,
,,,,,,תנועת אריאל,ariel@tariel.org.il,,547174647,0,1.1.2027,,,
,,,,,,התאחדות אילת (פיטאנק),,כרמלה פטאנג,545604720,0,1.1.2027,,,
,,,,,,מכללת תלפיות,,נריה,587700998,0,1.1.2027,,,
,,,,,,ישי טרופר בני עקיבא,,ישי טרופר,526428534,0,1.1.2027,,,
,,,,,,מלער,,רועי,543349688,0,29.6.2026,,,
,,,,,,נוער לאומי ביתר,,שי,507282140,49445 זכות,1.1.2027,,,
